50,28.7,us
50,1.7,us
50,2.4,us
50,1.4,us
50,1.5,us
50,1.4,us
50,1.3,us
50,3.1,us
50,1.4,us
50,1.3,us
50,1.4,us
50,1.4,us
50,1.3,us
50,1.3,us
50,1.5,us
50,1.6,us
50,1.3,us
50,2,us
50,2,us
50,2.2,us
50,2,us
50,2,us
50,2.1,us
50,1.4,us
50,1.6,us
50,2.1,us
50,1.9,us
50,1.3,us
50,2.1,us
50,2.4,us
50,2.1,us
50,1.6,us
50,2.3,us
50,2,us
50,5.1,us
50,1.8,us
50,2.4,us
50,1.4,us
50,1.4,us
50,1.4,us
50,2,us
50,1.6,us
50,1.4,us
50,1.3,us
50,2.2,us
50,1.7,us
50,1.5,us
50,1.9,us
50,1.4,us
50,1.7,us
50,1.8,us
50,1.4,us
50,1.3,us
50,1.3,us
50,1.9,us
50,2,us
50,2.4,us
50,1.8,us
50,1.5,us
50,1.8,us
50,2.5,us
50,2.3,us
50,1.5,us
50,1.5,us
50,1.3,us
50,1.3,us
50,1.3,us
50,1.5,us
50,1.4,us
50,1.9,us
50,1.3,us
50,1.5,us
50,1.4,us
50,1.8,us
50,2.1,us
50,1.8,us
50,1.5,us
50,1.3,us
50,1.2,us
50,1.4,us
50,1.3,us
50,1.3,us
50,1.2,us
50,1.1,us
50,1.2,us
50,2,us
50,2,us
50,1.4,us
50,1.8,us
50,2.2,us
50,1.8,us
50,2.5,us
50,2,us
50,1.4,us
50,1.5,us
50,3.4,us
50,1.5,us
50,1.8,us
50,1.8,us
50,1.3,us
50,1.7,us
50,1.5,us
50,1.7,us
50,1.3,us
50,1.5,us
50,1.4,us
50,1.4,us
50,1.2,us
50,1.3,us
50,1.2,us
50,1.3,us
50,1.2,us
50,1.6,us
50,1.4,us
50,1.4,us
50,1.7,us
50,1.3,us
50,1.6,us
50,1.3,us
50,1.1,us
50,1.4,us
50,1.4,us
50,1.2,us
50,1.3,us
50,1.2,us
50,1.3,us
50,1.3,us
50,1.3,us
50,1.3,us
50,1.3,us
50,1.8,us
50,2.3,us
50,2.8,us
50,2,us
50,1.4,us
50,1.3,us
50,1.6,us
50,1.8,us
50,1.4,us
50,1.5,us
