600,45
600,26
600,105
600,105
600,115
600,108
600,94
600,110
600,94
600,93
600,93
600,97
600,94
600,222
600,94
600,94
600,95
600,93
600,92
600,95
600,93
600,93
600,93
600,93
600,93
600,94
600,93
600,94
600,109
600,64
600,64
600,63
600,63
600,63
600,63
600,64
600,63
600,63
600,64
600,49
600,59
600,48
600,47
600,48
600,48
600,47
600,47
600,47
600,47
600,46
500,42
500,26
500,17
500,17
500,16
500,16
500,17
500,16
500,16
500,17
500,16
500,16
500,16
500,16
500,21
500,16
500,16
500,28
500,16
500,16
500,16
500,16
500,16
500,16
500,17
500,17
500,106
500,17
500,17
500,17
500,17
500,17
500,17
500,17
500,17
500,16
500,16
500,16
500,16
500,17
500,16
500,17
500,17
500,17
500,16
500,16
500,16
500,16
500,17
500,17
