50,5.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,5.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,4.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,5.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,2.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,3.00,us
50,2.00,us
50,3.00,us
50,3.00,us
100,10.00,us
100,18.00,us
100,17.00,us
100,16.00,us
100,10.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,10.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,14.00,us
100,10.00,us
100,17.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,10.00,us
100,10.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,17.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
100,9.00,us
